origin,destination,departtime,arrivaltime,duration,price,faresLeft
CRL,HER,2023-04-01T08:10:00.000,2023-04-01T12:35:00.000,03:25,147.77,3
CRL,NAP,2023-04-01T07:45:00.000,2023-04-01T10:00:00.000,02:15,198.1,-1
CRL,PMO,2023-04-01T21:30:00.000,2023-04-01T23:59:00.000,02:29,109.73,3
CRL,FAO,2023-04-01T11:05:00.000,2023-04-01T13:00:00.000,02:55,132.54,-1
CRL,ALC,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000,02:25,146.99,-1
CRL,AGP,2023-04-01T13:40:00.000,2023-04-01T16:25:00.000,02:45,155.27,5
BRU,AGP,2023-04-02T09:55:00.000,2023-04-02T12:50:00.000,02:55,184.73,-1
CRL,CFU,2023-04-02T17:00:00.000,2023-04-02T20:40:00.000,02:40,84.29,-1
CRL,BDS,2023-04-02T17:30:00.000,2023-04-02T19:55:00.000,02:25,76.28,-1
CRL,NAP,2023-04-02T09:45:00.000,2023-04-02T12:00:00.000,02:15,147.86,-1
CRL,FAO,2023-04-02T16:45:00.000,2023-04-02T18:40:00.000,02:55,132.54,3
CRL,ALC,2023-04-02T09:55:00.000,2023-04-02T12:20:00.000,02:25,110.49,4
CRL,IBZ,2023-04-02T07:30:00.000,2023-04-02T09:55:00.000,02:25,80.51,-1
CRL,AGP,2023-04-02T21:30:00.000,2023-04-03T00:15:00.000,02:45,134.64,2
CRL,TFS,2023-04-02T12:35:00.000,2023-04-02T16:10:00.000,04:35,172.41,-1
