flightKey,flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
TB 1171_2023-04-01,TB 1171,2023-03-27,OST,Brugge-Oostende,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:50,299.99,299.99,Direct,02:50,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1135_2023-04-01,TB 1135,2023-03-27,BRU,Brussel,BEL,2023-04-01,06:00,ALC,Alicante,ESP,2023-04-01,08:45,244.99,244.99,Direct,02:45,,TB,TUI fly,7,False,0.0,0.0,,,False
TB 1101_2023-04-01,TB 1101,2023-03-27,ANR,Antwerpen,BEL,2023-04-01,06:30,ALC,Alicante,ESP,2023-04-01,09:10,269.99,269.99,Direct,02:40,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1113_2023-04-01,TB 1113,2023-03-27,BRU,Brussel,BEL,2023-04-01,17:00,ALC,Alicante,ESP,2023-04-01,19:45,209.99,209.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1183_2023-04-02,TB 1183,2023-03-27,OST,Brugge-Oostende,BEL,2023-04-02,06:00,ALC,Alicante,ESP,2023-04-02,08:50,329.99,329.99,Direct,02:50,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1111_2023-04-02,TB 1111,2023-03-27,BRU,Brussel,BEL,2023-04-02,06:10,ALC,Alicante,ESP,2023-04-02,08:55,209.99,209.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1103_2023-04-02,TB 1103,2023-03-27,ANR,Antwerpen,BEL,2023-04-02,14:05,ALC,Alicante,ESP,2023-04-02,16:45,264.99,264.99,Direct,02:40,,TB,TUI fly,7,False,0.0,0.0,,,False
TB 1105_2023-04-02,TB 1105,2023-03-27,ANR,Antwerpen,BEL,2023-04-02,15:20,ALC,Alicante,ESP,2023-04-02,18:00,209.99,209.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1113_2023-04-02,TB 1113,2023-03-27,BRU,Brussel,BEL,2023-04-02,16:45,ALC,Alicante,ESP,2023-04-02,19:30,194.99,194.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1161_2023-04-03,TB 1161,2023-03-27,LGG,Luik,BEL,2023-04-03,06:00,ALC,Alicante,ESP,2023-04-03,08:45,129.99,129.99,Direct,02:45,,TB,TUI fly,9,True,0.0,0.0,,,False
TB 1111_2023-04-03,TB 1111,2023-03-27,BRU,Brussel,BEL,2023-04-03,06:05,ALC,Alicante,ESP,2023-04-03,08:50,199.99,199.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1101_2023-04-03,TB 1101,2023-03-27,ANR,Antwerpen,BEL,2023-04-03,08:00,ALC,Alicante,ESP,2023-04-03,10:40,199.99,199.99,Direct,02:40,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1171_2023-04-03,TB 1171,2023-03-27,OST,Brugge-Oostende,BEL,2023-04-03,14:30,ALC,Alicante,ESP,2023-04-03,17:20,199.99,199.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-04,TB 1171,2023-03-27,OST,Brugge-Oostende,BEL,2023-04-04,06:00,ALC,Alicante,ESP,2023-04-04,08:50,139.99,139.99,Direct,02:50,,TB,TUI fly,9,True,0.0,0.0,,,False
TB 1135_2023-04-04,TB 1135,2023-03-27,BRU,Brussel,BEL,2023-04-04,06:15,ALC,Alicante,ESP,2023-04-04,09:00,209.99,209.99,Direct,02:45,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1101_2023-04-04,TB 1101,2023-03-27,ANR,Antwerpen,BEL,2023-04-04,07:30,ALC,Alicante,ESP,2023-04-04,10:10,149.99,149.99,Direct,02:40,,TB,TUI fly,15,False,0.0,0.0,,,False
TB 1103_2023-04-04,TB 1103,2023-03-27,ANR,Antwerpen,BEL,2023-04-04,08:35,ALC,Alicante,ESP,2023-04-04,11:15,169.99,169.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
